AC01,The Fast and the Furious,Rob Cohen,2001,A Los Angeles street racer falls in love with a woman who turns out to be the sister of a rival racer.,Action,"Rob Cohen,A Los Angeles street racer falls in love with a woman who turns out to be the sister of a rival racer.,Action"
AC02,Drive,Nichols Winding Refn,2011,A stunt driver by day and a getaway driver by night becomes involved with a young mother who is drawn into a dangerous underworld.,Action,"Nichols Winding Refn,A stunt driver by day and a getaway driver by night becomes involved with a young mother who is drawn into a dangerous underworld.,Action"
AC03,Predator,John McTiernan,1987,"An elite team is sent to a Central American jungle to rescue hostages, but soon find themselves being hunted by a technologically advanced alien predator.",Action,"John McTiernan,An elite team is sent to a Central American jungle to rescue hostages, but soon find themselves being hunted by a technologically advanced alien predator.,Action"
AC04,First Blood,Ted Kotcheff,1982,"A former Green Beret is pursued into the mountains by a ruthless sheriff and his deputies, and must rely on his combat and survival skills to evade capture.",Action,"Ted Kotcheff,A former Green Beret is pursued into the mountains by a ruthless sheriff and his deputies, and must rely on his combat and survival skills to evade capture.,Action"
AC05,Armageddon,Michael Bay,1998,"When an asteroid threatens to collide with Earth, a group of misfit oil drillers are recruited by NASA to go to space and destroy the asteroid before it's too late.",Action,"Michael Bay,When an asteroid threatens to collide with Earth, a group of misfit oil drillers are recruited by NASA to go to space and destroy the asteroid before it's too late.,Action"
AC06,The Avengers,Joss Whedon,2012,"Earth's mightiest heroes - Iron Man, Captain America, Thor, Hulk, Black Widow and Hawkeye - join forces to battle an alien invasion led by Thor's brother Loki.",Action,"Joss Whedon,Earth's mightiest heroes - Iron Man, Captain America, Thor, Hulk, Black Widow and Hawkeye - join forces to battle an alien invasion led by Thor's brother Loki.,Action"
AC07,Spider-Man,Sam Raimi,2002,"After being bitten by a radioactive spider, a high school student gains spider-like abilities and uses them to fight crime in New York City.",Action,"Sam Raimi,After being bitten by a radioactive spider, a high school student gains spider-like abilities and uses them to fight crime in New York City.,Action"
AC08,Batman,Tim Burton,1989,A wealthy playboy takes on the guise of a bat to fight crime in Gotham City and stop the Joker from wreaking havoc.,Action,"Tim Burton,A wealthy playboy takes on the guise of a bat to fight crime in Gotham City and stop the Joker from wreaking havoc.,Action"
AC09,Enter the Dragon,Robert Clouse,1973,A martial artist is recruited by an intelligence agency to infiltrate a martial arts tournament and uncover a drug trafficking ring.,Action,"Robert Clouse,A martial artist is recruited by an intelligence agency to infiltrate a martial arts tournament and uncover a drug trafficking ring.,Action"
AC10,"Crouching Tiger, Hidden Dragon",Ang Lee,2000,"In 19th century Qing Dynasty China, a legendary warrior steals a sword and becomes embroiled in a world of politics, love, and vengeance.",Action,"Ang Lee,In 19th century Qing Dynasty China, a legendary warrior steals a sword and becomes embroiled in a world of politics, love, and vengeance.,Action"
AC11,Inception,Christopher Nolan,2010,A skilled thief who specializes in stealing secrets from people's subconscious is offered a chance to have his criminal history erased as payment for performing an impossible task: to implant an idea into someone's mind through their dreams.,Action,"Christopher Nolan,A skilled thief who specializes in stealing secrets from people's subconscious is offered a chance to have his criminal history erased as payment for performing an impossible task: to implant an idea into someone's mind through their dreams.,Action"
AC12,Lethal Weapon,Richard Donner,1987,"A veteran cop on the verge of retirement is teamed up with a younger, suicidal detective who is out of control and seeking revenge on the criminals who killed his wife.",Action,"Richard Donner,A veteran cop on the verge of retirement is teamed up with a younger, suicidal detective who is out of control and seeking revenge on the criminals who killed his wife.,Action"
AC13,Yojimbo ,Akira Kurosawa,1961,"A wandering samurai arrives in a small town where two rival gangs are fighting for control. He decides to play both sides against each other, hoping to profit from the chaos that ensues.",Action,"Akira Kurosawa,A wandering samurai arrives in a small town where two rival gangs are fighting for control. He decides to play both sides against each other, hoping to profit from the chaos that ensues.,Action"
AC14,Superman ,Richard Donner,1978,"An alien with incredible powers lands on Earth and is adopted by a human couple. As he grows up, he learns to use his abilities to fight for truth, justice, and the American way.",Action,"Richard Donner,An alien with incredible powers lands on Earth and is adopted by a human couple. As he grows up, he learns to use his abilities to fight for truth, justice, and the American way.,Action"
AC15,Wonder Woman ,Patty Jenkins,2017,"A warrior princess from an all-female island nation enters the world of men to stop a global conflict, discovering her full powers and true destiny along the way.",Action,"Patty Jenkins,A warrior princess from an all-female island nation enters the world of men to stop a global conflict, discovering her full powers and true destiny along the way.,Action"
AC16,Black Panther ,Ryan Coogler,2018,"After the death of his father, the king of Wakanda, a young prince returns home to claim his rightful place as king and defend his people from outside threats.",Action,"Ryan Coogler,After the death of his father, the king of Wakanda, a young prince returns home to claim his rightful place as king and defend his people from outside threats.,Action"
AC17,Mad Max,George Miller,1979,"In a post-apocalyptic world, a former police officer teams up with a group of survivors to protect a small community from a violent gang of raiders.",Action,"George Miller,In a post-apocalyptic world, a former police officer teams up with a group of survivors to protect a small community from a violent gang of raiders.,Action"
AC18,Top Gun,Tony Scott,1986,"A hotshot fighter pilot is sent to an elite training school, where he competes with other pilots for the title of ""Top Gun"" and falls in love with his instructor.",Action,"Tony Scott,A hotshot fighter pilot is sent to an elite training school, where he competes with other pilots for the title of ""Top Gun"" and falls in love with his instructor.,Action"
AC19,Mission: Impossible,Brian DePalma,1996,"Impossible: A team of elite agents is tasked with carrying out impossible missions for the government, using high-tech gadgets and cunning tactics to outwit their enemies.",Action,"Brian DePalma,Impossible: A team of elite agents is tasked with carrying out impossible missions for the government, using high-tech gadgets and cunning tactics to outwit their enemies.,Action"
AC20,The Bourne Identity,Paul Greengrass,2002,"An amnesiac man is discovered floating in the Mediterranean Sea with no memory of who he is or how he got there. As he tries to uncover his past, he realizes he has a particular set of skills that make him a dangerous man to cross.",Action,"Paul Greengrass,An amnesiac man is discovered floating in the Mediterranean Sea with no memory of who he is or how he got there. As he tries to uncover his past, he realizes he has a particular set of skills that make him a dangerous man to cross.,Action"
AC21,Goldfinger,Guy Hamilton,1964,A James Bond film in which the British spy battles against the villainous Auric Goldfinger who plans to contaminate the United States gold reserve at Fort Knox.,Action,"Guy Hamilton,A James Bond film in which the British spy battles against the villainous Auric Goldfinger who plans to contaminate the United States gold reserve at Fort Knox.,Action"
AC22,The Terminator,James Cameron,1984,"A science-fiction film in which a cyborg assassin, played by Arnold Schwarzenegger, is sent back in time to kill Sarah Connor, the mother of the future leader of the human resistance, and a soldier from the future is sent back to protect her.",Action,"James Cameron,A science-fiction film in which a cyborg assassin, played by Arnold Schwarzenegger, is sent back in time to kill Sarah Connor, the mother of the future leader of the human resistance, and a soldier from the future is sent back to protect her.,Action"
AC23,The Dark Knight,Christopher Nolan,2008,"A superhero film in which Batman faces off against his arch-nemesis, the Joker, who is wreaking havoc on Gotham City.",Action,"Christopher Nolan,A superhero film in which Batman faces off against his arch-nemesis, the Joker, who is wreaking havoc on Gotham City.,Action"
AC24,The Matrix,The Wachowskis,1999,"A science-fiction film in which a computer hacker discovers that humanity is trapped inside a simulated reality created by sentient machines, and he joins a rebellion to overthrow them.",Action,"The Wachowskis,A science-fiction film in which a computer hacker discovers that humanity is trapped inside a simulated reality created by sentient machines, and he joins a rebellion to overthrow them.,Action"
AC25,Die Hard,John McTiernan,1988,"An action film in which a police officer, John McClane, tries to save his wife and other hostages taken by terrorists during a Christmas party in a Los Angeles high-rise building.",Action,"John McTiernan,An action film in which a police officer, John McClane, tries to save his wife and other hostages taken by terrorists during a Christmas party in a Los Angeles high-rise building.,Action"
AD01,The Goonies ,Richard Donner,1985,A group of friends embark on an adventure to find the lost treasure of a pirate named One-Eyed Willie in order to save their homes from foreclosure.,Adventure,"Richard Donner,A group of friends embark on an adventure to find the lost treasure of a pirate named One-Eyed Willie in order to save their homes from foreclosure.,Adventure"
AD02,Gunga Din ,George Stevens,1939,A British army regiment in colonial India discovers a secret cult worshiping a bloodthirsty goddess and an intrepid water carrier named Gunga Din helps them thwart the cult's plans.,Adventure,"George Stevens,A British army regiment in colonial India discovers a secret cult worshiping a bloodthirsty goddess and an intrepid water carrier named Gunga Din helps them thwart the cult's plans.,Adventure"
AD03,Road to Morocco ,David Butler,1942,Two musicians are shipwrecked in Morocco and become involved with an Arab princess and a wealthy businessman who has sinister plans for them.,Adventure,"David Butler,Two musicians are shipwrecked in Morocco and become involved with an Arab princess and a wealthy businessman who has sinister plans for them.,Adventure"
AD04,The Poseidon Adventure ,Ronald Neame,1972,"A disaster film in which a luxury ocean liner is overturned by a tidal wave, and a group of survivors try to escape to the bottom of the ship which is now the only way out.",Adventure,"Ronald Neame,A disaster film in which a luxury ocean liner is overturned by a tidal wave, and a group of survivors try to escape to the bottom of the ship which is now the only way out.,Adventure"
AD05,Fitzcarraldo ,Werner Herzog,1982,An eccentric entrepreneur in the Peruvian Amazon sets his sights on building an opera house in the jungle and decides to transport a steamship over a mountain in order to access a rich rubber territory.,Adventure,"Werner Herzog,An eccentric entrepreneur in the Peruvian Amazon sets his sights on building an opera house in the jungle and decides to transport a steamship over a mountain in order to access a rich rubber territory.,Adventure"
AD06,Cast Away ,Robert Zemeckis,2000,"After a plane crash, a FedEx executive must survive on a deserted island while waiting to be rescued.",Adventure,"Robert Zemeckis,After a plane crash, a FedEx executive must survive on a deserted island while waiting to be rescued.,Adventure"
AD07,Life of Pi ,Ang Lee,2012,A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery.,Adventure,"Ang Lee,A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery.,Adventure"
AD08,The Revenant ,Alejandro G. Inarritu,2015,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,Adventure,"Alejandro G. Inarritu,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,Adventure"
AD09,"Aguirre, Wrath of God ",Werner Herzog,1972,"In the 16th century, the ruthless and insane Don Lope de Aguirre leads a Spanish expedition in search of El Dorado.",Adventure,"Werner Herzog,In the 16th century, the ruthless and insane Don Lope de Aguirre leads a Spanish expedition in search of El Dorado.,Adventure"
AD10,Mutiny on the Bounty ,Frank Lloyd ,1935,"In 1787, British ship Bounty leaves Portsmouth to bring a cargo of breadfruit from Tahiti but the savage on-board conditions imposed by Captain Bligh trigger a mutiny led by officer Fletcher Christian.",Adventure,"Frank Lloyd ,In 1787, British ship Bounty leaves Portsmouth to bring a cargo of breadfruit from Tahiti but the savage on-board conditions imposed by Captain Bligh trigger a mutiny led by officer Fletcher Christian.,Adventure"
